prolific_id,privacy_notice,timing_of_study,structure_of_study,include_subject,date
b2d64082c90c13cT6689Z7b3186aA,Yes,Yes,Yes,1.0,08/12/24
0c55fd2f9e3fc0ce9b30a0u006eGe,Yes,Yes,Yes,1.0,08/12/24
96e25d102459K67bHcV7d1be2b6ec,Yes,Yes,Yes,1.0,08/12/24
e2b2669641W0f8p7eabbe4f16Oc66,Yes,Yes,Yes,1.0,08/12/24
78620b3eyS04O05d08c76f1c90ca6,Yes,Yes,Yes,1.0,08/12/24
ccOcbv3ve8e6fe6887nc8d083f411,Yes,Yes,Yes,1.0,08/12/24
43a6evv8451761b9ab227TdU157eh,Yes,Yes,Yes,1.0,08/12/24
6983c3Rc7b8022wca0a516c48b6Xb,Yes,Yes,Yes,1.0,08/12/24
7c802cbJ0t1Veb6f423cdc0b66a43,Yes,Yes,Yes,1.0,08/12/24
f86c126g99e6faR9d820b886fV56a,Yes,Yes,Yes,1.0,08/12/24
dw629490s21a16526a4630d0c1a7d,Yes,Yes,Yes,1.0,08/12/24
0e5cL7202733bhfb678e3678deH22,Yes,Yes,Yes,1.0,08/12/24
65gd46aa239e5dd2f6b1ca78dadbT,Yes,Yes,Yes,1.0,08/12/24
4d08008O2X9145969n5cce67T9acs,Yes,Yes,Yes,1.0,08/12/24
3r625c62kf1068d3dmt53A2f6bd84,Yes,Yes,Yes,1.0,08/12/24
f06eW38b1863b8552E6I6ea2Y78d2,Yes,Yes,Yes,1.0,08/12/24
4d15c7aa15g3ht5cUI84312c9fbd1,Yes,Yes,Yes,1.0,08/12/24
abc64G2640f7100eee524f3fE0ecs,Yes,Yes,Yes,1.0,08/12/24
03a71d7ub1t9S26998N467168330b,Yes,Yes,Yes,1.0,08/12/24
43a1bd8qaa075ad3dRrd69265c9f6,Yes,Yes,Yes,1.0,08/12/24
